Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Huang, Xiaohua",BENG 102 - Moleculr Components Living Sys (A),SP19,41,22,70.0%,55.0%,6.90,B+ (3.50),B+ (3.41)
"Fraley, Stephanie I.",BENG 103B - Bioengineering Mass Transfer (A),SP19,119,106,86.8%,89.6%,8.82,B (3.28),B- (2.97)
"Engler, Adam J.",BENG 112B - Fluid and Cell Biomechanics (A),SP19,64,58,94.6%,100.0%,7.18,B+ (3.30),B (3.24)
"Contijoch, Francisco",BENG 125 - Modeling & Computatio/Bioengr (A),SP19,136,36,100.0%,96.8%,6.50,B+ (3.42),B+ (3.48)
"Wheeler, Bruce Christopher",BENG 125 - Modeling & Computatio/Bioengr (A),SP19,136,36,100.0%,96.8%,6.50,B+ (3.42),B+ (3.48)
"Mali, Prashant Gulab Ram",BENG 133 - Numerical Analys-Computatn Eng (A),SP19,43,33,78.1%,93.8%,7.69,B (3.21),B (3.27)
"Broccard, Frederic Denis",BENG 140B - Bioengineering Physiology (A),SP19,33,8,100.0%,87.5%,7.00,B+ (3.50),B- (2.79)
"Alvarez-Cabanillas, Miguel",BENG 140B - Bioengineering Physiology (B),SP19,49,28,46.2%,15.4%,6.50,B+ (3.44),B+ (3.48)
"Zhang, Kun",BENG 160 - Chem & Molecular BENG Techniqs (A),SP19,56,32,78.1%,84.4%,7.85,A- (3.74),B+ (3.38)
"Cabrales, Pedro",BENG 172 - Bioengineering Laboratory (A),SP19,51,17,92.9%,100.0%,10.13,B+ (3.67),B+ (3.41)
"Omens, Jeffrey Howard",BENG 172 - Bioengineering Laboratory (A),SP19,51,17,92.9%,100.0%,10.13,B+ (3.67),B+ (3.41)
"Bafna, Vineet",BENG 182 - Biological Databases (A),SP19,26,7,71.4%,85.7%,7.36,B (3.14),B (3.24)
"Kwon, Ester Jihae",BENG 186A - Principles/Biomaterials Design (A),SP19,101,71,82.6%,92.8%,6.38,B+ (3.49),B (3.26)
"Wheeler, Bruce Christopher",BENG 187A - BENG Design Project: Planning (A),SP19,153,47,83.3%,95.2%,1.09,A (4.00),N/A
"Wheeler, Bruce Christopher",BENG 187D - BENG Design Proj:Presentation (A),SP19,53,12,100.0%,100.0%,4.68,A- (3.91),B+ (3.61)
"Wheeler, Bruce Christopher",BENG 187D - BENG Design Proj:Presentation (B),SP19,55,9,88.9%,100.0%,3.39,A (4.00),B+ (3.61)
"Contijoch, Francisco",BENG 189 - Physiological Systems Eng (A),SP19,17,17,94.1%,100.0%,6.97,B (3.24),N/A
"Engler, Adam J.",BENG 193 - Clinical Bioengineering (A),SP19,19,9,100.0%,100.0%,6.50,A (4.00),N/A
"Sah, Robert Lie-Yuan",BENG 87 - Freshman Seminar (A),SP19,11,3,100.0%,100.0%,0.50,N/A,N/A
"Omens, Jeffrey Howard",BENG 87 - Freshman Seminar (C),SP19,19,10,100.0%,100.0%,0.70,N/A,N/A
"Opatkiewicz, Justin Paul",CENG 101C - Mass Transfer (A),SP19,82,80,92.5%,97.5%,7.95,B (3.04),B (3.05)
"Shah, Nisarg",CENG 101C - Mass Transfer (B),SP19,27,20,73.7%,47.1%,9.76,B- (2.89),B (3.23)
"Drews, Aaron",CENG 113 - Chemical Reaction Engineering (A),SP19,86,68,91.2%,98.5%,10.82,B (3.13),B- (2.92)
"Chen, Zheng",CENG 113 - Chemical Reaction Engineering (B),SP19,22,19,89.5%,89.5%,7.66,B (3.26),B (3.14)
"Powell, Alyssa",CENG 124B - Chem Plant & Process Design II (A),SP19,99,58,81.5%,100.0%,5.08,A- (3.77),A- (3.76)
"Russ, Benjamin Edward",CENG 124B - Chem Plant & Process Design II (A),SP19,99,58,81.5%,72.2%,5.08,A- (3.77),A- (3.76)
"Pokorski, Jonathan Kyle",CENG 134 - Polymeric Materials (A),SP19,48,23,100.0%,90.5%,4.88,B+ (3.45),B (3.23)
"Opatkiewicz, Justin Paul",CENG 157 - Process Tech in Semiconductor (A),SP19,42,25,100.0%,100.0%,5.83,B+ (3.48),B+ (3.34)
"Drews, Aaron",CENG 176B - Chem Engineerng Process Lab II (A),SP19,51,23,95.7%,95.7%,5.20,A- (3.74),B+ (3.45)
"Zhang, Liangfang",CENG 176B - Chem Engineerng Process Lab II (B),SP19,48,20,90.0%,85.0%,7.10,A- (3.75),B+ (3.57)
"Evdokimenko, Ekaterina",ENG 10 - Fundamentals/Engineering Appln (A),SP19,25,9,87.5%,87.5%,2.00,A- (3.83),A- (3.79)
"Mancinelli, Ryan Mark",ENG 100D - Design for Development (D),SP19,48,19,100.0%,100.0%,8.50,A (4.00),A- (3.77)
"Goldberg, Charles G.",ENG 100L - Design for Development Lab (C),SP19,8,4,100.0%,100.0%,5.50,A (4.00),N/A
"de Oliveira, Mauricio",ENG 100L - Design for Development Lab (E),SP19,7,3,100.0%,100.0%,2.50,A (4.00),N/A
"Stokes, Malcolm Dale",ENG 100L - Design for Development Lab (F),SP19,7,3,100.0%,100.0%,6.50,A (4.00),N/A
"Bratton, Maryann",ENG 100L - Design for Development Lab (G),SP19,12,3,100.0%,100.0%,5.50,A (4.00),N/A
"Chien, Shu",BENG 1 - Introduction to Bioengineering (A),WI19,170,104,79.6%,93.7%,2.79,B+ (3.67),N/A
"Mc Culloch, Andrew Douglas",BENG 112A - Tissue Biomechanics (A),WI19,70,15,85.7%,78.6%,7.07,B+ (3.50),B (3.15)
"Subramaniam, Shankar",BENG 120 - Org Chem-Structural & Design (A),WI19,53,25,50.0%,65.2%,8.25,B+ (3.33),B+ (3.38)
"Wang, Yingxiao",BENG 120 - Org Chem-Structural & Design (A),WI19,52,25,50.0%,54.2%,8.25,B+ (3.33),B+ (3.38)
"Palsson, Bernhard O.",BENG 123 - Dynamic Simulatn in Bioeng (A),WI19,61,18,76.5%,58.8%,11.72,B+ (3.56),B (3.01)
"Wheeler, Bruce Christopher",BENG 126B - Design Implmnt Informatcs BENG (A),WI19,20,3,66.7%,100.0%,5.17,A (4.00),B+ (3.65)
"Subramaniam, Shankar",BENG 130 - Biotech Thermodynamics & Kinet (A),WI19,184,55,55.8%,69.2%,6.50,B (3.25),B+ (3.58)
"Cabrales, Pedro",BENG 140A - Bioengineering Physiology (A),WI19,88,51,92.2%,96.1%,6.03,B+ (3.40),B (3.24)
"Wheeler, Bruce Christopher",BENG 148B - Design Implmntatn Cardiac BENG (A),WI19,8,3,100.0%,100.0%,11.50,B+ (3.50),N/A
"Wheeler, Bruce Christopher",BENG 152 - BioSystems Engineering Lab (A),WI19,32,11,100.0%,100.0%,6.10,A (4.00),A- (3.77)
"Huang, Xiaohua",BENG 161B - Biochemical Engineering (A),WI19,40,24,100.0%,87.5%,7.20,A- (3.88),B+ (3.68)
"Lewis, Nathan E",BENG 161B - Biochemical Engineering (B),WI19,24,3,33.3%,66.7%,5.17,B+ (3.67),B (3.16)
"Wang, Yingxiao",BENG 168 - Biomolecular Engineering (A),WI19,75,20,95.0%,100.0%,6.61,B+ (3.63),A- (3.74)
"Wheeler, Bruce Christopher",BENG 179B - Design Implmnt Bioinstrumntatn (A),WI19,59,3,50.0%,100.0%,9.50,B+ (3.50),A- (3.87)
"Pevzner, Pavel Arkadjevich",BENG 181 - Molecular Sequence Analysis (A),WI19,26,8,100.0%,85.7%,19.07,A- (3.86),B (3.21)
"Cauwenberghs, Gert",BENG 186B - Princpls/Bioinstrumentatn Desn (A),WI19,69,16,93.8%,80.0%,9.00,B+ (3.38),B+ (3.33)
"Wheeler, Bruce Christopher",BENG 187C - BENG Design Proj:Implemntation (A),WI19,130,13,92.3%,100.0%,5.12,A- (3.92),N/A
"Liu, Ping",CENG 101B - Heat Transfer (A),WI19,60,35,85.3%,94.1%,8.10,B (3.17),B (3.03)
"Lubarda, Vlado",CENG 101B - Heat Transfer (B),WI19,49,31,93.5%,100.0%,5.98,B (3.26),B (3.05)
"Opatkiewicz, Justin Paul",CENG 102 - Chemical Engin Thermodynamics (A),WI19,66,59,93.2%,98.3%,9.08,B (3.23),B (3.05)
"Powell, Alyssa",CENG 102 - Chemical Engin Thermodynamics (B),WI19,47,41,85.0%,95.0%,9.75,B (3.03),B (3.06)
"Ong, Shyue Ping",CENG 114 - Prob and Stat Methods for Eng (A),WI19,92,82,80.5%,90.2%,6.91,B (3.05),B- (2.90)
"Powell, Alyssa",CENG 124A - Chem Plant & Process Design I (A),WI19,98,71,75.4%,95.5%,6.33,B+ (3.48),B+ (3.52)
"Russ, Benjamin Edward",CENG 124A - Chem Plant & Process Design I (A),WI19,98,71,75.4%,66.7%,6.33,B+ (3.48),B+ (3.52)
"Lubarda, Vlado",CENG 15 - Engin. Comp Using MATLAB (A),WI19,33,14,83.3%,83.3%,5.50,B+ (3.42),B+ (3.33)
"Drews, Aaron",CENG 176A - Chem Engineerng Process Lab I (A),WI19,50,21,95.0%,95.0%,8.10,B+ (3.40),B+ (3.45)
"Zhang, Liangfang",CENG 176A - Chem Engineerng Process Lab I (B),WI19,48,24,95.2%,90.5%,8.31,B+ (3.62),B+ (3.65)
"Evdokimenko, Ekaterina",ENG 10 - Fundamentals/Engineering Appln (A),WI19,12,6,100.0%,83.3%,2.17,A (4.00),N/A
"Choi, Seongcheol",ENG 10 - Fundamentals/Engineering Appln (B),WI19,6,3,66.7%,100.0%,3.17,A (4.00),N/A
"Williams, Ebonee P.",ENG 100B - Engineering Leadership (A),WI19,19,5,100.0%,100.0%,0.50,A (4.00),N/A
"Mancinelli, Ryan Mark",ENG 100D - Design for Development (B),WI19,60,20,88.9%,100.0%,6.06,B+ (3.69),A- (3.78)
"Goldberg, Charles G.",ENG 100L - Design for Development Lab (D),WI19,15,3,100.0%,100.0%,2.50,A (4.00),N/A
"Bratton, Maryann",ENG 100L - Design for Development Lab (I),WI19,14,4,75.0%,100.0%,7.00,A- (3.75),N/A
"Mc Culloch, Andrew Douglas",BENG 110 - Foundation of Biomechanics (A),FA18,63,33,96.8%,93.5%,5.79,B+ (3.58),B (3.25)
"Valdez-Jasso, Daniela",BENG 110 - Foundation of Biomechanics (B),FA18,47,15,76.9%,69.2%,8.04,B+ (3.62),B (3.13)
"Metallo, Christian Michael",BENG 122A - Biosystems and Control (A),FA18,59,18,94.1%,88.2%,6.38,A- (3.71),B+ (3.47)
"Wheeler, Bruce Christopher",BENG 126A - Design Dev Bioinformatics BENG (A),FA18,19,4,100.0%,100.0%,8.50,B+ (3.67),N/A
"Coleman, Todd Prentice",BENG 134 - Measurements/Stats/Probability (A),FA18,32,18,87.5%,93.8%,17.25,B (3.19),B+ (3.63)
"Wheeler, Bruce Christopher",BENG 135 - Biomedical Signals & Systems (A),FA18,19,3,66.7%,100.0%,6.50,B+ (3.67),N/A
"Lal, Ratnesh",BENG 141 - Biomedical Optics and Imaging (A),FA18,32,29,93.1%,89.7%,4.98,A- (3.76),B+ (3.66)
"Wheeler, Bruce Christopher",BENG 148A - Design Developmnt Cardiac BENG (A),FA18,8,3,100.0%,100.0%,11.50,B+ (3.50),N/A
"Fraley, Stephanie I.",BENG 161A - Bioreactor Engineering (A),FA18,67,55,90.9%,89.1%,9.52,B+ (3.31),B (3.02)
"Mali, Prashant Gulab Ram",BENG 162 - Biotechnology Laboratory (A),FA18,66,57,84.2%,89.5%,8.68,B+ (3.53),B (3.16)
"Sah, Robert Lie-Yuan",BENG 166A - Cell and Tissue Engineering (A),FA18,71,42,14.6%,20.0%,9.85,B (3.22),B+ (3.40)
"Wheeler, Bruce Christopher",BENG 169A - Design Developmnt Tissue Engin (A),FA18,14,3,100.0%,100.0%,3.50,A (4.00),N/A
"Wheeler, Bruce Christopher",BENG 179A - Design Develop.Bioinstrumntatn (A),FA18,58,7,66.7%,66.7%,8.21,A (4.00),A- (3.93)
"Zhong, Sheng",BENG 183 - Applied Genomic Technologies (A),FA18,73,28,69.2%,76.0%,3.02,B+ (3.59),B+ (3.54)
"Wheeler, Bruce Christopher",BENG 187B - BENG Design Project:Developmnt (A),FA18,130,32,76.7%,89.7%,6.91,A (4.00),N/A
"Engler, Adam J.",BENG 193 - Clinical Bioengineering (A),FA18,26,9,100.0%,100.0%,7.39,A (4.00),A- (3.88)
"Wheeler, Bruce Christopher",BENG 2 - Intro Computer Prog & MATLAB (A),FA18,19,12,72.7%,72.7%,6.50,B+ (3.33),N/A
"Mc Culloch, Andrew Douglas",BENG 87 - Freshman Seminar (A),FA18,19,14,90.9%,100.0%,0.83,B+ (3.50),N/A
"Omens, Jeffrey Howard",BENG 87 - Freshman Seminar (A),FA18,20,14,90.9%,100.0%,0.83,B+ (3.50),N/A
"Chen, Zheng",CENG 100 - Material and Energy Balances (A),FA18,100,57,90.7%,72.2%,6.06,B (3.22),B- (2.90)
"Powell, Alyssa",CENG 100 - Material and Energy Balances (B),FA18,47,27,96.2%,100.0%,4.88,B+ (3.58),B- (2.96)
"Miller, David R.",CENG 101A - Introductory Fluid Mechanics (A),FA18,173,89,76.2%,59.0%,11.80,B (3.06),B- (3.00)
"Russ, Benjamin Edward",CENG 120 - Chemical Process Dynmics&Cntrl (B),FA18,98,86,83.7%,55.8%,8.10,B (3.28),B (3.21)
"Powell, Alyssa",CENG 122 - Separation Processes (A),FA18,51,42,100.0%,100.0%,6.70,A- (3.71),B+ (3.44)
"Zhang, Liangfang",CENG 122 - Separation Processes (B),FA18,46,34,84.4%,65.6%,6.95,B (3.29),B (3.21)
"Lubarda, Vlado",CENG 15 - Engin. Comp Using MATLAB (A),FA18,62,30,86.7%,80.0%,4.37,B+ (3.53),B+ (3.32)
"Lubarda, Vlado",CENG 15 - Engin. Comp Using MATLAB (B),FA18,58,27,84.6%,73.1%,5.09,B+ (3.59),B+ (3.32)
"Drews, Aaron",CENG 15 - Engin. Comp Using MATLAB (C),FA18,24,12,81.8%,100.0%,9.77,B- (2.92),B- (2.92)
"Drews, Aaron",CENG 4 - Experience Chemical Eng (A),FA18,176,90,98.8%,100.0%,1.07,A- (3.91),N/A
"Vargas Consuelos, Carlos Ingram",ENG 10 - Fundamentals/Engineering Appln (A),FA18,17,7,33.3%,50.0%,1.50,B+ (3.50),N/A
"Choi, Seongcheol",ENG 10 - Fundamentals/Engineering Appln (B),FA18,20,15,53.3%,53.3%,2.90,A- (3.80),A- (3.72)
"Evdokimenko, Ekaterina",ENG 10 - Fundamentals/Engineering Appln (C),FA18,22,14,57.1%,71.4%,2.21,A- (3.92),A- (3.94)
"Bratton, Maryann",ENG 100D - Design for Development (A),FA18,59,44,93.2%,88.6%,5.45,A- (3.91),B+ (3.61)
"Bratton, Maryann",ENG 100D - Design for Development (F),FA18,53,39,69.2%,76.3%,5.85,B+ (3.47),B+ (3.61)
"Nguyen, Truong Quang",ENG 100L - Design for Development Lab (A),FA18,8,5,100.0%,100.0%,5.70,A (4.00),N/A
"Kleissl, Jan",ENG 100L - Design for Development Lab (F),FA18,8,4,100.0%,100.0%,4.50,A (4.00),N/A
"Drews, Aaron",CENG 100 - Material and Energy Balances (A),S218,23,19,100.0%,100.0%,5.45,B+ (3.47),B+ (3.50)
"Opatkiewicz, Justin Paul",CENG 114 - Prob and Stat Methods for Eng (A),S218,24,21,90.5%,100.0%,8.60,B+ (3.57),B+ (3.51)
"Herz, Richard K",CENG 15 - Engin. Comp Using MATLAB (A),S218,19,13,100.0%,100.0%,6.96,A- (3.85),N/A
"Vargas Consuelos, Carlos Ingram",ENG 10 - Fundamentals/Engineering Appln (A),S218,28,24,28.6%,28.6%,3.28,A- (3.91),A (4.00)
"Schamberg, Gabriel Eli",ENG 10 - Fundamentals/Engineering Appln (B),S218,30,26,76.9%,100.0%,2.50,A- (3.96),A (4.00)
"Warchall, Julian Alexander",ENG 10 - Fundamentals/Engineering Appln (C),S218,30,24,60.9%,87.0%,2.17,A- (3.96),A (4.00)
"Vargas Consuelos, Carlos Ingram",ENG 10 - Fundamentals/Engineering Appln (D),S218,21,17,37.5%,43.8%,3.13,A- (3.94),A (4.00)
"Abbasi, Shaghayegh",BENG 100 - Stat Reasoning Bioeng Applns (A),S118,16,3,66.7%,66.7%,13.83,D+ (1.67),N/A
"Alexandrov, Ludmil B",BENG 100 - Stat Reasoning Bioeng Applns (A),SP18,163,74,76.4%,90.1%,7.20,B (3.18),B- (2.91)
"Huang, Xiaohua",BENG 102 - Moleculr Components Living Sys (A),SP18,51,20,63.2%,57.9%,5.03,B+ (3.53),A- (3.72)
"Fraley, Stephanie I.",BENG 103B - Bioengineering Mass Transfer (A),SP18,119,110,87.3%,92.7%,8.74,B+ (3.32),B- (3.00)
"Mc Culloch, Andrew Douglas",BENG 112B - Fluid and Cell Biomechanics (A),SP18,59,18,55.6%,55.6%,4.94,B+ (3.44),A- (3.82)
"Hasty, Jeff M",BENG 125 - Modeling & Computatio/Bioengr (A),SP18,131,41,81.1%,72.2%,6.66,B+ (3.32),B+ (3.51)
"Wheeler, Bruce Christopher",BENG 125 - Modeling & Computatio/Bioengr (A),SP18,131,41,81.1%,75.7%,6.66,B+ (3.32),B+ (3.51)
"Mali, Prashant Gulab Ram",BENG 133 - Numerical Analys-Computatn Eng (A),SP18,23,23,91.3%,100.0%,6.67,B+ (3.43),B+ (3.57)
"Silva, Gabriel",BENG 140B - Bioengineering Physiology (A),SP18,40,18,70.6%,70.6%,5.32,B+ (3.56),B+ (3.37)
"Devor, Anna",BENG 140B - Bioengineering Physiology (B),SP18,30,11,100.0%,100.0%,3.41,B+ (3.64),A- (3.78)
"Zhang, Kun",BENG 160 - Chem & Molecular BENG Techniqs (A),SP18,63,57,80.7%,94.7%,8.01,B+ (3.54),B+ (3.36)
"Cabrales, Pedro",BENG 172 - Bioengineering Laboratory (A),SP18,45,12,83.3%,100.0%,10.00,B+ (3.55),B+ (3.56)
"Omens, Jeffrey Howard",BENG 172 - Bioengineering Laboratory (A),SP18,45,12,83.3%,100.0%,10.00,B+ (3.55),B+ (3.56)
"Bafna, Vineet",BENG 182 - Biological Databases (A),SP18,20,6,83.3%,100.0%,8.50,B- (2.83),B (3.25)
"Bansal, Vikas",BENG 182 - Biological Databases (C),SP18,15,4,75.0%,50.0%,6.50,B (3.00),N/A
"Dequach, Jessica A",BENG 186A - Principles/Biomaterials Design (A),SP18,105,78,63.2%,64.5%,6.03,B (3.23),B (3.18)
"Wheeler, Bruce Christopher",BENG 187A - BENG Design Project: Planning (A),SP18,130,43,100.0%,97.4%,1.83,A- (3.97),N/A
"Wheeler, Bruce Christopher",BENG 187D - BENG Design Proj:Presentation (A),SP18,23,5,100.0%,100.0%,6.50,A (4.00),A- (3.90)
"Wheeler, Bruce Christopher",BENG 187D - BENG Design Proj:Presentation (B),SP18,58,16,75.0%,93.8%,6.00,A- (3.88),A- (3.90)
"Wheeler, Bruce Christopher",BENG 187D - BENG Design Proj:Presentation (C),SP18,48,16,92.9%,100.0%,3.83,A (4.00),A- (3.90)
"Gough, David A.",BENG 189 - Physiological Systems Eng (A),SP18,31,8,37.5%,25.0%,4.50,B+ (3.38),A- (3.72)
"Silva, Gabriel",BENG 189 - Physiological Systems Eng (A),SP18,31,8,37.5%,75.0%,4.50,B+ (3.38),A- (3.72)
"Omens, Jeffrey Howard",BENG 87 - Freshman Seminar (A),SP18,13,8,100.0%,100.0%,1.25,N/A,N/A
"Opatkiewicz, Justin Paul",CENG 101C - Mass Transfer (A),SP18,101,97,89.6%,92.6%,8.33,B (3.24),B (3.17)
"Drews, Aaron",CENG 113 - Chemical Reaction Engineering (A),SP18,85,49,91.5%,100.0%,9.05,B (3.23),B (3.07)
"Safari, Iman",CENG 113 - Chemical Reaction Engineering (C),SP18,42,40,95.0%,90.0%,8.65,B+ (3.30),B+ (3.69)
"Russ, Benjamin Edward",CENG 124B - Chem Plant & Process Design II (A),SP18,102,82,61.7%,95.1%,4.82,A- (3.72),A- (3.73)
"Talbot, Jan B",CENG 124B - Chem Plant & Process Design II (A),SP18,102,83,62.2%,62.2%,4.81,A- (3.72),A- (3.73)
"Lipomi, Darren John",CENG 134 - Polymeric Materials (A),SP18,35,17,82.4%,100.0%,5.09,B+ (3.31),B- (2.80)
"Opatkiewicz, Justin Paul",CENG 157 - Process Tech in Semiconductor (A),SP18,58,42,97.6%,100.0%,5.83,B+ (3.37),B (3.29)
"Drews, Aaron",CENG 176B - Chem Engineerng Process Lab II (A),SP18,55,29,96.6%,96.6%,7.40,A- (3.75),B+ (3.58)
"Chen, Zheng",CENG 176B - Chem Engineerng Process Lab II (B),SP18,49,25,100.0%,95.8%,8.26,A- (3.84),A- (3.76)
"Choi, Seongcheol",ENG 10 - Fundamentals/Engineering Appln (A),SP18,24,8,100.0%,100.0%,3.50,A (4.00),A- (3.83)
"Reynante, Brandon Marcellino",ENG 100D - Design for Development (B),SP18,52,48,77.1%,95.7%,7.92,B+ (3.60),B+ (3.59)
"Reynante, Brandon Marcellino",ENG 100D - Design for Development (C),SP18,48,39,100.0%,100.0%,7.09,B+ (3.58),B+ (3.59)
"Reynante, Brandon Marcellino",ENG 100D - Design for Development (D),SP18,32,30,80.0%,93.3%,8.37,B+ (3.64),B+ (3.59)
"Kleissl, Jan",ENG 100L - Design for Development Lab (C),SP18,11,3,66.7%,33.3%,7.83,A (4.00),N/A
"Goldberg, Charles G.",ENG 100L - Design for Development Lab (D),SP18,12,4,100.0%,100.0%,3.83,A (4.00),N/A
"de Oliveira, Mauricio",ENG 100L - Design for Development Lab (G),SP18,12,3,100.0%,100.0%,3.83,A (4.00),N/A
"Bratton, Maryann",ENG 100L - Design for Development Lab (L),SP18,15,6,100.0%,100.0%,5.50,A- (3.83),N/A
"Chien, Shu",BENG 1 - Introduction to Bioengineering (A),WI18,198,124,73.7%,88.8%,3.36,A- (3.80),N/A
"Omens, Jeffrey Howard",BENG 112A - Tissue Biomechanics (A),WI18,62,21,90.0%,90.0%,5.87,B+ (3.58),B+ (3.52)
"Wheeler, Bruce Christopher",BENG 119B - Design Implmntatn Biomechanics (A),WI18,24,5,60.0%,100.0%,3.70,A (4.00),A (4.00)
"Subramaniam, Shankar",BENG 120 - Org Chem-Structural & Design (A),WI18,51,26,68.0%,80.0%,7.92,B- (2.88),B+ (3.39)
"Wang, Yingxiao",BENG 120 - Org Chem-Structural & Design (A),WI18,50,26,68.0%,64.0%,7.92,B- (2.88),B+ (3.39)
"Palsson, Bernhard O.",BENG 123 - Dynamic Simulatn in Bioeng (A),WI18,67,20,66.7%,66.7%,11.91,B+ (3.50),B+ (3.36)
"Wheeler, Bruce Christopher",BENG 128B - Design Implmnt Genetic Circuit (A),WI18,21,9,88.9%,100.0%,9.75,A- (3.89),A (4.00)
"Huang, Xiaohua",BENG 130 - Biotech Thermodynamics & Kinet (A),WI18,169,99,73.7%,64.6%,6.54,B+ (3.42),B+ (3.43)
"Cabrales, Pedro",BENG 140A - Bioengineering Physiology (A),WI18,49,26,91.7%,91.7%,7.83,B+ (3.58),B+ (3.59)
"Sparks, Steven Ray",BENG 140A - Bioengineering Physiology (C),WI18,29,10,66.7%,33.3%,6.06,B (3.11),B+ (3.60)
"Wheeler, Bruce Christopher",BENG 147B - Design Implmntatn Neural Engin (A),WI18,17,4,75.0%,100.0%,9.50,A- (3.75),N/A
"Wheeler, Bruce Christopher",BENG 152 - BioSystems Engineering Lab (A),WI18,15,9,100.0%,100.0%,6.94,A- (3.88),N/A
"Metallo, Christian Michael",BENG 161B - Biochemical Engineering (A),WI18,47,15,86.7%,93.3%,7.57,B+ (3.33),B+ (3.40)
"Lewis, Nathan E",BENG 161B - Biochemical Engineering (B),WI18,11,6,83.3%,100.0%,7.50,B (3.17),N/A
"Wang, Yingxiao",BENG 168 - Biomolecular Engineering (A),WI18,72,20,100.0%,100.0%,7.20,B+ (3.65),A- (3.71)
"Wheeler, Bruce Christopher",BENG 169B - Design Implmntatn Tissue Engin (A),WI18,27,5,100.0%,100.0%,7.70,A (4.00),A (4.00)
"Pevzner, Pavel Arkadjevich",BENG 181 - Molecular Sequence Analysis (A),WI18,39,19,70.6%,70.6%,17.61,B- (2.89),B+ (3.30)
"Cauwenberghs, Gert",BENG 186B - Princpls/Bioinstrumentatn Desn (A),WI18,40,12,81.8%,90.9%,9.00,B (3.17),B+ (3.39)
"Alvarez-Cabanillas, Miguel",BENG 186B - Princpls/Bioinstrumentatn Desn (C),WI18,20,10,100.0%,87.5%,10.75,B (3.00),B+ (3.38)
"Wheeler, Bruce Christopher",BENG 187C - BENG Design Proj:Implemntation (A),WI18,129,33,87.5%,96.8%,4.38,A- (3.97),N/A
"Gough, David A.",BENG 87 - Freshman Seminar (A),WI18,9,5,100.0%,100.0%,0.90,N/A,N/A
"Engler, Adam J.",BENG 87 - Freshman Seminar (B),WI18,14,8,100.0%,100.0%,0.50,N/A,N/A
"Liu, Ping",CENG 101B - Heat Transfer (A),WI18,69,48,89.6%,85.4%,8.83,B (3.19),B- (2.95)
"Lubarda, Vlado",CENG 101B - Heat Transfer (B),WI18,41,27,88.9%,100.0%,6.65,B+ (3.63),A- (3.70)
"Opatkiewicz, Justin Paul",CENG 102 - Chemical Engin Thermodynamics (A),WI18,89,87,95.4%,95.4%,9.01,B (3.13),B (3.08)
"Safari, Iman",CENG 102 - Chemical Engin Thermodynamics (B),WI18,31,30,80.0%,63.3%,10.30,B (3.03),A- (3.76)
"Ong, Shyue Ping",CENG 114 - Prob and Stat Methods for Eng (A),WI18,110,102,83.3%,81.4%,6.97,B (3.19),B- (2.95)
"Russ, Benjamin Edward",CENG 124A - Chem Plant & Process Design I (A),WI18,106,74,56.8%,89.0%,5.74,B+ (3.48),B+ (3.61)
"Talbot, Jan B",CENG 124A - Chem Plant & Process Design I (A),WI18,106,74,58.1%,48.6%,5.74,B+ (3.48),B+ (3.61)
"Yang, Kesong",CENG 15 - Engin. Comp Using MATLAB (A),WI18,21,17,94.1%,88.2%,4.15,B+ (3.59),B (3.08)
"Drews, Aaron",CENG 15 - Engin. Comp Using MATLAB (B),WI18,11,8,100.0%,100.0%,6.00,A- (3.71),N/A
"Drews, Aaron",CENG 176A - Chem Engineerng Process Lab I (A),WI18,56,25,92.0%,92.0%,9.38,B+ (3.63),B+ (3.58)
"Zhang, Liangfang",CENG 176A - Chem Engineerng Process Lab I (B),WI18,50,23,85.7%,100.0%,10.12,B+ (3.52),B+ (3.61)
"Larson, David Philip",ENG 10 - Fundamentals/Engineering Appln (A),WI18,24,18,94.4%,100.0%,2.17,A- (3.88),A- (3.97)
"Choi, Seongcheol",ENG 10 - Fundamentals/Engineering Appln (B),WI18,24,19,83.3%,83.3%,2.72,A (4.00),A (4.00)
"Williams, Ebonee P.",ENG 100B - Engineering Leadership (A),WI18,15,6,100.0%,100.0%,2.50,A (4.00),N/A
"Reynante, Brandon Marcellino",ENG 100D - Design for Development (B),WI18,46,45,82.2%,97.8%,7.12,B+ (3.61),B+ (3.61)
"Reynante, Brandon Marcellino",ENG 100D - Design for Development (C),WI18,46,44,97.7%,100.0%,6.83,B+ (3.60),B+ (3.61)
"Reynante, Brandon Marcellino",ENG 100D - Design for Development (D),WI18,44,43,93.0%,100.0%,7.66,B+ (3.66),B+ (3.61)
"Nguyen, Truong Quang",ENG 100L - Design for Development Lab (F),WI18,16,6,100.0%,100.0%,5.50,A (4.00),N/A
"de Oliveira, Mauricio",ENG 100L - Design for Development Lab (G),WI18,8,4,100.0%,100.0%,5.00,A (4.00),N/A
"Bratton, Maryann",ENG 100L - Design for Development Lab (I),WI18,12,3,100.0%,100.0%,5.17,A (4.00),N/A
"Bratton, Maryann",ENG 100L - Design for Development Lab (J),WI18,8,3,100.0%,100.0%,4.50,B+ (3.67),N/A
"Mc Culloch, Andrew Douglas",BENG 110 - Foundation of Biomechanics (A),FA17,90,44,62.8%,48.8%,6.45,B+ (3.36),A- (3.73)
